Section,Description,Offense,Punishment
215,"according to section 215 of indian penal code, whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 215 in simple words in simple words, section 215 of the indian penal code states that if someone takes or agrees to take a bribe under the pretext of helping another person recover their stolen property, but fails to make any effort to apprehend and convict the offender, they can be punished with imprisonment up to two years, or fined, or both.",taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender,2 years or fine or both
216,"according to section 216 of indian penal code, whenever any person convicted of or charged with an offence, being in lawful custody for that offence, escapes from such custody, or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a certain person to be apprehended for an offence, whoever, knowing of such escape or order for apprehension, harbours or conceals that person with the intention of preventing him from being apprehended, shall be punished in the manner following, that is to say: if a capital offence — if the offence for which the person was in custody or is ordered to be apprehended is punishable with death, he shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine; if punishable with imprisonment for life, or with imprisonment — if the offence is punishable with imprisonment for life or imprisonment for ten years, he shall be punished with imprisonment of either description for a term which may extend to three years, with or without fine; and if the offence is punishable with imprisonment which may extend to one year and not to ten years, he shall be punished with imprisonment of the description provided for the offence for a term which may extend to one-fourth part of the longest term of the imprisonment provided for such offence or with fine, or with both. “offence” in this section includes also any act or omission of which a person is alleged to have been guilty out of india, which, if he had been guilty of it in india, would have been punishable as an offence, and for which he is, under any law relating to extradition, or otherwise liable to be apprehended or detained in custody in india, and every such act or omission shall, for the purposes of this section, be deemed to be punishable as if the accused person had been guilty of it in india. ipc 216 in simple words in simple words, section 216 of the indian penal code states that if someone helps a person, who is in custody for a serious offense or ordered to be apprehended, to escape or hides them with the intention of preventing their arrest, they can face different punishments based on the severity of the offense, ranging from up to seven years of imprisonment and fine for capital offenses to up to three years of imprisonment with or without fine for offenses punishable with life imprisonment or ten years, and one-fourth part of the longest term of imprisonment provided for less serious offenses or fine, or both. this section also includes acts or omissions committed outside india that would be punishable as offenses in india, and the punishment will be as if the accused person committed those acts or omissions in india.","harbouring an offender who has escaped from custody, or whose apprehension has been ordered, if the offence be capital",7 years + fine
216A,"a according to section 216a of indian penal code, whoever, knowing or having reason to believe that any persons are about to commit or have recently committed robbery or dacoity, harbours them or any of them, with the intention of facilitating the commission of such robbery or dacoity or of screening them or any of them from punishment, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine. ipc 216a in simple words section 216a of the indian penal code states that anyone who knowingly shelters or hides individuals involved in robbery or dacoity to aid their criminal activities or protect them from punishment can be sentenced to rigorous imprisonment for up to seven years and fined.",harbouring robbers or dacoits,rigorous imprisonment for 7 years and fine
216B,"b according to section 216b of indian penal code, repealed by the indian penal code (amendment) act, 1942 (8 of 1942), s. 3. ipc 216b in simple words section 216b of the indian penal code has been removed from the law by the indian penal code (amendment) act, 1942 (8 of 1942), s. 3.",,
217,"according to section 217 of indian penal code, whoever, being a public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or any charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 217 in simple words in simple words, section 217 of the indian penal code states that if a public servant knowingly disobeys the law to save someone from legal punishment or subject them to a lesser punishment, or to save property from forfeiture, they can be punished with imprisonment up to two years, or fined, or both.","public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture",2 years or fine or both
218,"according to section 218 of indian penal code, whoever, being a public servant, and being as such public servant, charged with the preparation of any record or other writing, frames that record or writing in a manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowing that he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. ipc 218 in simple words in simple words, section 218 of the indian penal code states that if a public servant, responsible for preparing records or writings, deliberately frames them incorrectly to cause loss, injury, or save someone from legal punishment or property from forfeiture, they can be punished with imprisonment up to three years, or fined, or both.","public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture",3 years or fine or both
219,"according to section 219 of indian penal code, whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial proceeding, any report, order, verdict, or decision which he knows to be contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both. ipc 219 in simple words in simple words, section 219 of the indian penal code states that if a public servant knowingly gives a false report, order, verdict, or decision in any stage of a judicial proceeding, they can be punished with imprisonment up to seven years, or fined, or both.","public servant in a judicial proceeding corruptly making and pronouncing an order, report, verdict, or decision which he knows to be contrary to law",7 years or fine or both
220,"according to section 220 of indian penal code, whoever, being in any office which gives him legal authority to commit persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits any person for trial or to confinement, or keeps any person in confinement, in the exercise of that authority, knowing that in so doing he is acting contrary to law, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both. ipc 220 in simple words in simple words, section 220 of the indian penal code states that if someone, holding an office with the legal authority to detain or imprison others, corruptly or maliciously detains or imprisons someone knowing it is against the law, they can be punished with imprisonment up to seven years, or fined, or both.","commitment for trial or confinement by a person having authority, who knows that he is acting contrary to law",7 years or fine or both
221,"according to section 221 of indian penal code, whoever, being a pubic servant, legally bound as such public servant to apprehend or to keep in confinement any person charged with or liable to be apprehended for an offence, intentionally omits to apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say: with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with death; or with imprisonment of either description for a term which may extend to three years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with imprisonment for life or imprisonment for a term which may extend to ten years; or with imprisonment of either description for a term which may extend to two years, with or without fine, if the person in confinement, or who ought to have been apprehended, was charged with, or liable to be apprehended for, an offence punishable with imprisonment for a term less than ten years. ipc 221 in simple words in simple words, section 221 of the indian penal code states that if a public servant, who is responsible for apprehending someone charged with an offense, intentionally fails to do so or aids their escape, they can be punished with different terms of imprisonment and fines depending on the severity of the offense, ranging from two to seven years.","intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, if the offence be capital",7 years with or without fine
222,"according to section 222 of indian penal code, whoever, being a public servant, legally bound as such public servant to apprehend or to keep in confinement any person under sentence of a court of justice for any offence or lawfully committed to custody, intentionally omits to apprehend such person, or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting to escape from such confinement, shall be punished as follows, that is to say: with imprisonment for life or with imprisonment of either description for a term which may extend to fourteen years, with or without fine, if the person in confinement, or who ought to have been apprehended, is under sentence of death; or with imprisonment of either description for a term which may extend to seven years, with or without fine, if the person in confinement, or who, ought to have been apprehended, is subject, by a sentence of a court of justice, or by virtue of a commutation of such sentence, to imprisonment for life or imprisonment for a term of ten years or upwards; or with imprisonment of either description for a term which may extend to three years, or with fine, or with both, if the person in confinement, or who ought to have been apprehended is subject, by a sentence of a court of justice, to imprisonment for a term not extending to ten years or if the person was lawfully committed to custody. ipc 222 in simple words in simple words, section 222 of the indian penal code states that if a public servant, who is responsible for apprehending or keeping someone in custody, intentionally fails to do so or aids their escape, they can face different punishments based on the seriousness of the offense, ranging from imprisonment for life to imprisonment for up to three years, or with fine, or both.","intentional omission to apprehend on the part of a public servant bound by law to apprehend person under sentence of a court of justice, if under sentence of death",imprisonment for life or 14 years with or without fine
223,"according to section 223 of indian penal code, whoever, being a public servant legally bound as such public servant to keep in confinement any person charged with or convicted of any offence or lawfully committed to custody, negligently suffers such person to escape from confinement, shall be punished with simple imprisonment for a term which may extend to two years, or with fine, or with both. ipc 223 in simple words in simple words, section 223 of the indian penal code states that if a public servant, who is responsible for keeping someone in custody, negligently allows that person to escape, they can be punished with up to two years of simple imprisonment, or fined, or both.",escape from confinement negligently suffered by a public servant,simple imprisonment for 2 years or fine or both
227,"according to section 227 of indian penal code, whoever, having accepted any conditional remission of punishment, knowingly violates any condition on which such remission was granted, shall be punished with the punishment to which he was originally sentenced, if he has already suffered no part of that punishment, and if he has suffered any part of that punishment, then with so much of that punishment as he has not already suffered. ipc 227 in simple words in simple words, section 227 of the indian penal code states that if someone, after accepting conditional remission of their punishment, breaks any condition of that remission, they can be punished with the original sentence's remaining part or the full original sentence if they haven't already served any of it.",violation of condition of remission of punishment,"original sentence, minus time already served"
228,"according to section 228 of indian penal code, whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, shall be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both. ipc 228 in simple words in simple words, section 228 of the indian penal code states that if someone intentionally insults or disrupts a public servant while they are involved in any stage of a judicial proceeding, they can be punished with up to six months of simple imprisonment, or fined up to one thousand rupees, or both.",intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,simple imprisonment for 6 months or fine or both
228A,"a according to section 228a of indian penal code, whoever prints or publishes the name or any matter which may make known the identity of any person against whom an offence under section 376, section 376a, section 376b, section 376c, section 376d or section 376e1 is alleged or found to have been committed (hereafter in this section referred to as the victim) shall be punished with imprisonment of either description for a term which may extend to two years and shall also be liable to fine. nothing in sub-section (1) extends to any printing or publication of the name or any matter which may make known the identity of the victim if such printing or publication is by or under the order in writing of the officer-in-charge of the police station or the police officer making the investigation into such offence acting in good faith for the purposes of such investigation;or by, or with the authorisation in writing of, the victim; or where the victim is dead or minor or of unsound mind, by, or with the authorisation in writing of, the next-of-kin of the victim: ipc 228a in simple words section 228a of the indian penal code states that anyone who prints or publishes the name or any information that may reveal the identity of a victim in cases of certain sexual offences can be punished with imprisonment of up to two years and fined, unless such printing or publication is authorized by the police, the victim, or the victim's next-of-kin in certain circumstances.","disclosure of identity of the victim of certain offences, etc.",2 years + fine
229,"according to section 229 of indian penal code, whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. ipc 229 in simple words in simple words, section 229 of the indian penal code states that if someone intentionally impersonates or allows themselves to be selected as a juror or assessor in a case where they are not legally entitled to be, and willingly serves in that role, they can be punished with imprisonment up to two years, or fined, or both.",personation of a juror or assessor,2 years or fine or both
229A,"a according to section 229a of indian penal code, whoever, having been charged with an offence and released on bail or on bond without sureties, fails without sufficient cause (the burden of proving which shall lie upon him), to appear in court in accordance with the terms of the bail or bond, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. ipc 229a in simple words section 229a of the indian penal code states that if a person who has been charged with an offence and released on bail or bond fails to appear in court as per the terms of the bail or bond without sufficient cause, they may be punished with imprisonment of up to one year, or with a fine, or both.",failure by person released on bail or bond to appear in court,1 year or fine or both
230,"according to section 230 of indian penal code, coin — coin is metal used for the time being as money, and stamped and issued by the authority of some state or sovereign power in order to be so used. indian coin — indian coin is metal stamped and issued by the authority of the government of india in order to be used as money; and metal which has been so stamped and issued shall continue to be indian coin for the purposes of this chapter, notwithstanding that it may have ceased to be used as money. ipc 230 in simple words in simple words, section 230 of the indian penal code defines """"coin"""" as metal used as money and stamped by a government authority, and """"indian coin"""" as metal stamped and issued by the government of india to be used as money, even if it's no longer in circulation.",,
231,"according to section 231 of indian penal code, whoever counterfeits or knowingly performs any part of the process of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 231 in simple words in simple words, section 231 of the indian penal code states that if someone counterfeits or is involved in any step of counterfeiting coins, they can be imprisoned for up to seven years and fined.","counterfeiting, or performing any part of the process of counterfeiting coin",7 years + fine
232,"according to section 232 of indian penal code, whoever counterfeits, or knowingly performs any part of the process of counterfeiting indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 232 in simple words in simple words, section 232 of the indian penal code states that if someone counterfeits or is involved in any step of counterfeiting indian coins, they can be punished with either life imprisonment or imprisonment for up to ten years, and fined.","counterfeiting, or performing any part of the process of counterfeiting coin",imprisonment for life or 10 years + fine
233,"according to section 233 of indian penal code, whoever makes or mends, or performs any part of the process of making or mending, or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting coin, shall be punished with imprisonment of either description for a term which may extended to three years, and shall also be liable to fine. ipc 233 in simple words in simple words, section 233 of the indian penal code states that if someone manufactures, repairs, buys, sells, or deals with any die or instrument intended for counterfeiting coins, they can be imprisoned for up to three years and fined.","making, buying or selling instrument for the purpose of counterfeiting coin",3 years + fine
234,"according to section 234 of indian penal code, whoever makes or mends, or performs any part of the process of making or mending or buys, sells or disposes of, any die or instrument, for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting indian coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 234 in simple words in simple words, section 234 of the indian penal code states that if someone manufactures, repairs, buys, sells, or deals with any die or instrument intended for counterfeiting indian coins, they can be imprisoned for up to seven years and fined.","making, buying or selling instrument for the purpose of counterfeiting indian coin",7 years + fine
235,"according to section 235 of indian penal code, whoever is in possession of any instrument or material, for the purpose of using the same for counterfeiting coin, or knowing or having reason to believe that the same is intended to be used for that purpose, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; if indian coin â€” and if the coin to be counterfeited is indian coin, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 235 in simple words in simple words, section 235 of the indian penal code states that if someone is found in possession of any instrument or material meant for counterfeiting coins or if they know or have reason to believe it's intended for counterfeiting, they can be imprisoned for up to three years and fined. if the coin to be counterfeited is indian coin, the punishment can be imprisonment for up to ten years and fine.",possession of instrument or material for the purpose of using the same for counterfeiting coin,3 years + fine
236,"according to section 236 of indian penal code, whoever, being within india abets the counterfeiting of coin out of india shall be punished in the same manner as if he abetted the counterfeiting of such coin within india. ipc 236 in simple words in simple words, section 236 of the indian penal code states that if someone in india encourages or supports the counterfeiting of coins outside india, they will be punished as if they were involved in counterfeiting coins within india.","abetting, in india, the counterfeiting, out of india, of coin",the punishment provided for abetting the counterfeiting of such coin within india
237,"according to section 237 of indian penal code, whoever imports into india, or exports therefrom, any counterfeit coin, knowingly or having reason to believe that the same is counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. ipc 237 in simple words in simple words, section 237 of the indian penal code states that if someone knowingly imports or exports any counterfeit coin into or from india, they can be punished with imprisonment for up to three years and fined.","import or export of counterfeit coin, knowing the same to be counterfeit",3 years + fine
238,"according to section 238 of indian penal code, whoever imports into india, or exports there from, any counterfeit coin, which he knows or has reason to believe to be a counterfeit of indian coin, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 238 in simple words in simple words, section 238 of the indian penal code states that if someone knowingly imports or exports any counterfeit indian coin, they can be punished with either life imprisonment or imprisonment up to ten years, and fined.","import or export of counterfeit of indian coin, knowing the same to be counterfeit",imprisonment for life or 10 years + fine
239,"according to section 239 of indian penal code, whoever, having any counterfeit coin, which at the time when he became possessed of it, he knew to be counterfeit, fraudulently or with intent that fraud may be committed, delivers the same to any persons or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine. ipc 239 in simple words in simple words, section 239 of the indian penal code states that if someone knowingly possesses a counterfeit coin and with the intent to commit fraud, gives or tries to persuade someone else to accept it, they can be imprisoned for up to five years and fined.","having any counterfeit coin known to be such when it came into possession, and delivering, etc., the same to any person",5 years + fine
240,"according to section 240 of indian penal code, whoever having any counterfeit coin, which is a counterfeit of indian coin, and which, at the time when he became possessed of it, he knew to be a counterfeit of indian coin, fraudulently or with intent that fraud may be committed, delivers the same to any person, or attempts to induce any person to receive it, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 240 in simple words in simple words, section 240 of the indian penal code states that if someone knowingly possesses a counterfeit indian coin and with the intent to commit fraud, gives or tries to persuade someone else to accept it, they can be imprisoned for up to ten years and fined.",same with respect to indian coin,10 years + fine
241,"according to section 241 of indian penal code, whoever delivers to any other person as genuine, or attempts to induce any other person to receive as genuine, any counterfeit coin which he knows to be counterfeit, but which he did not know to be counterfeit at the time when he took it into his possession, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine to an amount which may extend to ten times the value of the coin counterfeited, or with both. ipc 241 in simple words in simple words, section 241 of the indian penal code states that if someone knowingly gives or tries to convince another person that a counterfeit coin is genuine, but they were unaware it was counterfeit when they received it, they can be punished with imprisonment up to two years, or fined up to ten times the value of the counterfeit coin, or both.","knowingly delivering to another any counterfeit coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",2 years or fine or 10 x value of coin or both
242,"according to section 242 of indian penal code, whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, having known at the time when he became possessed thereof that such coin was counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. ipc 242 in simple words in simple words, section 242 of the indian penal code states that if someone knowingly possesses a counterfeit coin with the intention to commit fraud, they can be imprisoned for up to three years and fined.",possession of counterfeit coin by a person who knew it to be counterfeit when he became possessed thereof,3 years + fine
243,"according to section 243 of indian penal code, whoever, fraudulently or with intent that fraud may be committed, is in possession of counterfeit coin, which is a counterfeit of indian coin, having known at the time when he became possessed of it that it was counterfeit, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 243 in simple words in simple words, section 243 of the indian penal code states that if someone knowingly possesses a counterfeit indian coin with the intention to commit fraud, they can be imprisoned for up to seven years and fined.",possession of indian coin by a person who knew it to be counterfeit when he became possessed thereof,7 years + fine
244,"according to section 244 of indian penal code, whoever, being employed in any mint lawfully established in india, does any act, or omits what he is legally bound to do, with the intention of causing any coin issued from that mint to be of a different weight or composition from the weight or composition fixed by law, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 244 in simple words in simple words, section 244 of the indian penal code states that if an employee of a legally established mint in india intentionally alters the weight or composition of coins issued from that mint, they can be imprisoned for up to seven years and fined.",person employed in a mint causing coin to be of a different weight or composition from that fixed by law,7 years + fine
245,"according to section 245 of indian penal code, whoever, without lawful authority, takes out of any mint, lawfully established in india, any coining tool or instrument, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 245 in simple words in simple words, section 245 of the indian penal code states that if someone unlawfully takes coining tools or instruments from a legally established mint in india, they can be imprisoned for up to seven years and fined.",unlawfully taking from a mint any coining instrument,7 years + fine
246,"according to section 246 of indian penal code, whoever, fraudulently or dishonestly performs on any coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. ipc 246 in simple words in simple words, section 246 of the indian penal code states that if someone fraudulently or dishonestly alters the weight or composition of a coin, they can be imprisoned for up to three years and fined.",fraudulently diminishing the weight or altering the composition of any coin,3 years + fine
247,"according to section 247 of indian penal code, whoever fraudulently or dishonestly performs on any indian coin any operation which diminishes the weight or alters the composition of that coin, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 247 in simple words in simple words, section 247 of the indian penal code states that if someone fraudulently or dishonestly alters the weight or composition of an indian coin, they can be imprisoned for up to seven years and fined.",fraudulently diminishing the weight or altering the composition of indian coin,7 years + fine
248,"according to section 248 of indian penal code, whoever performs on any coin any operation which alters the appearance of that coin, with the intention that the said coin shall pass as a coin of a different description, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. ipc 248 in simple words in simple words, section 248 of the indian penal code states that if someone intentionally alters the appearance of a coin to make it look like a different type of coin and tries to pass it off as such, they can be imprisoned for up to three years and fined.",altering appearance of any coin with intent that it shall pass as a coin of a different description,3 years + fine
249,"according to section 249 of indian penal code, whoever performs on any indian coin any operation which alters the appearance of that coin, with the intention that the said coin shall pass as a coin of a different description, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 249 in simple words in simple words, section 249 of the indian penal code states that if someone intentionally alters the appearance of an indian coin to make it look like a different type of coin and tries to pass it off as such, they can be imprisoned for up to seven years and fined.",altering appearance of indian coin with intent that it shall pass as a coin of a different description,7 years + fine
250,"according to section 250 of indian penal code, whoever, having coin in his possession with respect to which the offence defined in section 246 or 248 has been committed, and having known at the time when he became possessed of such coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers such coin to any other person, or attempts to induce any other person to receive the same, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine. ipc 250 in simple words in simple words, section 250 of the indian penal code states that if someone knowingly possesses a coin involved in fraud and with the intent to commit fraud, gives or tries to persuade someone else to accept that coin, they can be imprisoned for up to five years and fined.",delivery to another of coin possessed with the knowledge that it is altered,5 years + fine
251,"according to section 251 of indian penal code, whoever, having coin in his possession with respect to which the offence defined in section 247 or 249 has been committed, and having known at the time when he became possessed of such coin that such offence had been committed with respect to it, fraudulently or with intent that fraud may be committed, delivers such coin to any other person, or attempts to induce any other person to receive the same, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 251 in simple words in simple words, section 251 of the indian penal code states that if someone knowingly possesses a fraudulent coin, and with the intent to commit fraud, gives or tries to persuade someone else to accept that coin, they can be imprisoned for up to ten years and fined.",delivery of indian coin possessed with the knowledge that it is altered,10 years + fine
252,"according to section 252 of indian penal code, whoever fraudulently or with intent that fraud may be committed, is in possession of coin with respect to which the offence defined in either of the sections 246 or 248 has been committed having known at the time of becoming possessed thereof that such offence had been committed with respect to such coin, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. ipc 252 in simple words in simple words, section 252 of the indian penal code states that if someone knowingly possesses a fraudulent coin and intends to commit fraud or is aware that a fraud has already been committed with that coin, they can be imprisoned for up to three years and fined.",possession of altered coin by a person who knew it to be altered when he became possessed thereof,3 years + fine
253,"according to section 253 of indian penal code, whoever fraudulently or with intent that fraud may be committed, is in possession of coin with respect to which the offence defined in either of the sections 247 or 249 has been committed having known at the time of becoming possessed thereof, that such offence had been committed with respect to such coin, shall be punished with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine. ipc 253 in simple words in simple words, section 253 of the indian penal code states that if someone knowingly possesses a fraudulent coin and intends to commit fraud or is aware that a fraud has already been committed with that coin, they can be imprisoned for up to five years and fined.",possession of indian coin by a person who knew it to be altered when he became possessed thereof,5 years + fine
254,"according to section 254 of indian penal code, whoever delivers to any other person as genuine or as a coin of a different description from what it is, or attempts to induce any person to receive as genuine, or as a different coin from what it is, any coin in respect of which he knows that any such operation as that mentioned in sections 246, 247, 248 or 249 has been performed, but in respect of which he did not, at the time when he took it into his possession, know that such operation had been performed, shall be punished with imprisonment of either description for a term which may extend to two years or with fine to an amount which may extend to ten times the value of the coin for which the altered coin is passed, or attempted to be passed. ipc 254 in simple words according to section 254 of the indian penal code, anyone who knowingly passes or tries to convince others that a coin is genuine or of a different type than it actually is, and the coin has been altered, can be punished with imprisonment up to two years or fined up to ten times the value of the altered coin.","delivery to another of coin as genuine which, when first possessed, the deliverer did not know to be altered",2 years or fine or 10 x value of coin
255,"according to section 255 of indian penal code, whoever counterfeits, or knowingly performs any part of the process of counterfeiting, any stamp issued by government for the purpose of revenue shall be punished with imprisonment for life or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. ipc 255 in simple words according to section 255 of the indian penal code, anyone who makes or assists in making fake government revenue stamps can be punished with life imprisonment or imprisonment up to ten years, and fined.",counterfeiting a government stamp,imprisonment for life or 10 years + fine
256,"according to section 256 of indian penal code, whoever has in his possession any instrument or material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 256 in simple words according to section 256 of the indian penal code, anyone found with instruments or materials intended for making fake government revenue stamps can be punished with imprisonment up to seven years and fined.",having possession of an instrument or material for the purpose of counterfeiting a government stamp,7 years + fine
257,"according to section 257 of indian penal code, whoever makes or performs any part of the process of making, or buys, or sells, or disposes of, any instrument for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 257 in simple words according to section 257 of the indian penal code, anyone who makes, buys, sells, or deals with instruments meant for counterfeiting government revenue stamps can be punished with imprisonment up to seven years and fined.","making, buying or selling instrument for the purpose of counterfeiting a government stamp",7 years + fine
258,"according to section 258 of indian penal code, whoever sells, or offers for sale, any stamp which he knows or has reason to believe to be a counterfeit of any stamp issued by government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 258 in simple words according to section 258 of the indian penal code, if someone sells or offers a stamp that they know or believe to be fake, they can be punished with imprisonment up to seven years and fined.",sale of counterfeit government stamp,7 years + fine
259,"according to section 259 of indian penal code, whoever has in his possession any stamp which he knows to be a counterfeit of any stamp issued by government for the purpose of revenue, intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine stamp, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. ipc 259 in simple words according to section 259 of the indian penal code, if someone possesses a fake stamp, knowing it's not genuine and intends to use or sell it as if it were genuine, they can be punished with imprisonment up to seven years and fined.",having possession of a counterfeit government stamp,7 years + fine
260,"according to section 260 of indian penal code, whoever uses as genuine any stamp, knowing it to be a counterfeit of any stamp issued by government for the purpose of revenue, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both. ipc 260 in simple words according to section 260 of the indian penal code, if someone knowingly uses a fake stamp, pretending it's a genuine one issued by the government for revenue purposes, they can be punished with imprisonment up to seven years, or with a fine, or both.",using as genuine a government stamp known to be counterfeit,7 years or fine or both
261,"according to section 261 of indian penal code, whoever, fraudulently or with intent to cause loss to the government, removes or effaces from any substance, bearing any stamp issued by government for the purpose of revenue, any writing or document for which such stamp has been used, or removes from any writing or document a stamp which has been used for such writing or document, in order that such stamp may be used for a different writing or document, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both. ipc 261 in simple words according to section 261 of the indian penal code, if someone fraudulently removes or erases a revenue stamp from any substance or document, with the intention to cause loss to the government, they can be punished with imprisonment up to three years, or with a fine, or both.","effacing any writing from a substance bearing a government stamp, or removing from a document a stamp used for it, with intent to cause a loss to government",3 years or fine or both
